userName,content,score,appId
IntergalactiCat,"Aplikasi gak berguna. Bukannya mempermudah malah bikin ribet. Saya perlu pindah faskes karena pindah domisili ke kota lain. Download aplikasi ini supaya tidak perlu datang ke kantor BPJS, tapi mau daftar aja susah. No telp tidak terdaftar, koneksi internet terganggu.... Bayar iuran tiap bulan sia-sia, BPJS payah!",1,app.bpjs.mobile
Sri Rizki,"Heran deh. Saya emang belum pernah daftar, disuruh daftar kan. Ehh keterangannya malah bilang sudah terdaftar di Bpjs. Giliran mau log in malah bilang belum ada yg terdaftar. Kumaha sihhhh, bad bangett sih aplikasinya. Bikin bingung bukan mempermudah",1,app.bpjs.mobile
Intan Nurul Harjanti,"Ribet amat cuma riset password. Harusnya bisa multiple login dari seluruh anggota keluarga BPJS. Riset password juga jangan hanya satu cara pakai otp doang, kasih alternative lain. Mau pengaduan aja dilempar ke Pandawa, terus dilempar ke gdrive form, dilempar lagi ke konfirmasi wa , lagi lagi ke gdrive dan suruh konfirmasi lagi lewat wa.. pakai one solution lewat telp ngapa.. jangan males males amat .",1,app.bpjs.mobile
Rafika Ayu,"Aplikasi yang maksa banget harus autodebet !!!!!!!! Gua cuma punya rek bni :( ga ada juga pilihan nya untuk autodebet rek bni :(((( Kalo ga autodebet ga bisa di buka aplikasi nya , kenapa harus diribetin sii toh kita juga akan selalu bayar ko ,mana minta update mulu ribet bgt aplikasi ini :(((((((( !!!!!!!!!!!!",1,app.bpjs.mobile
Andri Mardiana,"Fungsinya pendaftaran berobat online apa kalau pas dateng ke kliniknya malah harus daftar ulang secara manual? padahal jadwalnya belum mulai jadi nomornya belum kelewat. Pas nomor yg sy dapet ketika daftar online dipanggil ternyata ada orang lain yg pegang, gimana sih aneh bener.",1,app.bpjs.mobile
Erwan choretan,"Maksudnya apa sih kalian bikin aplikasi ini,,, ingin memudahkan kalian kerja atw ngak mau kerja,, saya capek bolak balik ke kantor bpjs,, di suruh donwlaod aplikasi ini,, mau register aja ngak bisa,, tangung jawab anda di mana..",1,app.bpjs.mobile
Abdul Kholik,"Saya kemarin sempet datang langsung ke kantor BPJS malah sruh lewat aplikasi. sekalinya lewat aplikasi Ini aplikasi yang sekarang bukannya di bikin lebih mudah, malah di bikin ribet. mau ganti faskes aja selalu gagal, alasan sudah penuh antrian. udahmh harus 3 bulan sekali minimal gnti faskesnya, dlu bisa 1 bulan sekali. malah makin di rugikan. udahmah Biaya naik faskes naik ngurusin ribet makin susah masyarakat yang awam. Coba di bntu dengan kemajuan teknologi harusnya di permudah.",1,app.bpjs.mobile
Sukardjan Ompong,"Seharusnya aplikasi ini membuat masyarakat mudah jika untuk ada keperluan mengubah data dll tanpa harus keluar rumah , karena keadaan pandemi tapi kenapa aplikasi sering erorr capta tidak muncul dll , tolong dong diperbaiki lagi denga lekas aplikasi ini karena kita masyarakat sangat membutuhkan aplikasi mobile ini ... Tolong masukan kita ditindak lanjuti ya, terimakasih",1,app.bpjs.mobile
Ahmad Saleh,"Udah ada BPJS mau login di sini kok ga bisa nomor lah gak singkron nomor kk lah gak terdaftar,kan mau ngecek pembayaran susah,haduh ngabisin uang pemerintah aja buat aplikasi uang pemerintah kan uang rakyat jga ,tolong dong di perbaiki jadi lebih di permudah kasian yang benar2 membutuhkan jadi kesulitan ,mikir oiii!!!!",1,app.bpjs.mobile
Hadi Ginerza,"Saya mau daftar ga bisa dengan alasan nomer nya tidak sesuai . Padahal saya belum pernah daftar JKN mobile . Dan pas saya chat lewat WhatsApp . Untuk pengaduan jawabannya "" maaf terjadi kesalahan pada sistem "" haduh gimana nih",1,app.bpjs.mobile
Septian Maulana Perdana,"Sangat kecewa dengan aplikasi ini. Aplikasi yang dibuat seharusnya mempermudah pengguna nya, namun malah mempersulit penggunaan nya. Semoga pembuat aplikasi mendengar keluhan kami para pengguna. Terimakasih, semoga membantu.",1,app.bpjs.mobile
Marwah Safitri,Aplikasi ko ribet bgt. Mau daftar Aja susah nya kya apa tau. Masukin nmr tlvn malah keluar bacaan KESALAHAN KONEKSI TEROOS! Padahal data normal² aja gaada hambatan apapun! Kata nya harus isi pulsa. Tpi pas di isi pulsa tetep aja sama gabisa bisa ga jelas bgt!,1,app.bpjs.mobile
Malik Jamaludin,"Aplikasi tidak jelas, sudah melakukan pergantian no hp baru secara offline di cabang dan online di pandawa tapi no hp tdk terdaftar, trus sy harus gmana cara ganti no hp ke mana slaian online/offline jgn minta tagihan atau pemotongan secara on time giliran ada kluhan gak bisa kasih solusi",1,app.bpjs.mobile
IR135 CHANNEL,Mau daftar nmr HP salah terus. Chat CS tapi jawabannya kaya robot masih baik pelayanan CS Shopee dari pada CS JKN. Tingkat kan pelayanan untuk masyarakat perbaiki systemnya kalo emang harus serba online. Verifikasi gunakan 2 opsi nmr HP sama email.,1,app.bpjs.mobile
qiqiathaya28 nganjuk,"Datang ke kantor dikasi kertas aja suruh daftar online, giliran dftr online apk nya buat verif aja ga bisa?? Gmana ini?? Ko ga ad tindak lanjut nya,, Kalo emang disuruh dftr online harusnya apk nya disiapkan dengan matang, biar para pemohon tidak kesusahan. Meresahkaaan!!!!!!!!!!",1,app.bpjs.mobile
SEBELAH MATA,"Parah,, sayah datang ke kantor BPJS mau cetak kartu anak sayah yang baru lahir, kata satpam nya suruh daftar ke pandawa, terus kata satpamnya nanti gk usah kesnih lagih kalo sudah terdaftar kartunya langsung di kirim, sayah daftar langsung ke pandawa.. sudah 3bln kartu tidak dikirim, pas liat di JKN anak sayah belum terdaftar juga sampai keterngnnya non aktif.. pelayanan yang kacau.. pengaduam juga pakai pulsa.. parah banget.. Apakah kepesrtaan anak sayah aktif lagih?",1,app.bpjs.mobile
Khoerunisa Nisa,"Kenapa susah bgt mau kirim kode otp. Kode sudah dapet tp tampilan blm keubah ke masukan kode otp ""verifikasi"". Sudah keluar akun. Mau masukin nomor hape jg perlu kode verifikasi tp ya masih kyak gitu lg. kode dapet tp tambilan ga ke ubah buat masukin kode otpnya. Sia-sia keluar malah gabisa masuk lg",1,app.bpjs.mobile
Yuni Asry,"Saya ingin melaporkan, saya udah membayar tagihan BPJS saya. Dan transaksinya juga sudah berhasil. Akan tetapi di mobile jkn ini knapa tagihan saya masih ada (tidak berubah). Tolong dong ini knapa???",1,app.bpjs.mobile
Siti Nurlel,"Sangat buruk sekali, saya sudah masukan data diri sudah di simpan malah tidak masuk masuk. Mohon untuk perbaiki lagi karna saya binggung dari kantor BPJS nya suruh registrasi lewat online tapi pas mau registrasi online malah apk nya kek gini.",1,app.bpjs.mobile
Lisa Ariyanti,"Mau buat akun saja tidak bisa². No hp anda tidak terdaftar kata nya. Sudah dibuhungi pihak terkait tapi responnya tidak ada solusi sama sekali. Aplikasi macam apa yang mempersulit orang lain. Saya sudah punya BPJS tapi saya mau mendaftarkan anggota keluarga, makanya download aplikasi ini. Ternyata malah tidak bisa buat akun untuk menggunakan aplikasinya",1,app.bpjs.mobile
RADEN UNIBA BANTEN,"Makin lama makin gk jls ini apk, saya masuk aja susah malah transaksi gagal trus yg nongol,, saya itu mau buka kartu blm apa-apa baru buka apk kok yg keluar tulisan begitu,, diperbaiki lagi lah developny,, makin kesini malah makin jadi susah akses",1,app.bpjs.mobile
My Name Afi,"Bener2 parah ini aplikasi. Kenapa email profil bukan email atas nama pengguna? Malahan email yang tidak dikenal yang ada diprofil. Bahkan nomer telpon yang tersambung di aplikasi bukan nomer telpon pengguna. Tolong diperbaiki lagi keamanan aplikasi, ini menyangkut data pribadi user.",1,app.bpjs.mobile
rianonico,"gak bisa daftar online, padahal ada fitur buat daftar. pas mau daftar malah disuruh login sebelum nambah anggota, kan aneh, baru mau daftar masa disuruh login, mau login pake akun siapa coba? gak memberikan solusi aplikasinya",1,app.bpjs.mobile
